KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.51,5.36,12.05,2.02,1.63,0.84,0.84,0.04
10,0.5,0.5,0.5,1,2,2,2,2,1,5.86,6.76,13.48,2.25,2.13,0.91,0.99,0.04
