KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.56,5.34,12.06,2.14,1.52,0.8,0.8,0.04
10,0.5,0.6,0.5,1,2,2,2,1,1,4.49,5.42,12.05,2.05,1.57,0.79,0.8,0.04
10,0.5,0.7,0.5,1,2,2,2,1,1,4.9,5.59,12.34,2.13,2.02,0.94,0.94,0.04
10,0.5,0.8,0.5,1,2,2,2,1,1,4.75,5.39,12.13,1.99,1.62,0.89,0.89,0.04
10,0.5,0.9,0.5,1,2,2,2,1,1,4.61,5.37,12.31,2.06,1.45,0.83,0.83,0.04
