KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,5,3,2,1,3,108.88,13.62,12.54,4.24,8.01,0.97,1.85,0.36
100,0.5,0.5,0.5,1,5,3,2,2,3,121.2,25.66,23.67,4.71,19.66,3.86,4.73,2.02
100,0.5,0.5,0.5,1,5,3,2,3,3,135.65,40.2,24.35,3.46,21.27,48.83,5.54,289.4
100,0.5,0.5,0.5,1,5,3,2,4,3,148.49,52.77,21.3,2.82,19.31,48.82,4.71,448.16
100,0.5,0.5,0.5,1,5,3,2,5,3,166.17,70.33,9.09,1.04,8.17,11.23,1.77,707.24
