KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.1,3,3,3,2,1,1,101.64,13.11,12.14,1.29,1.38,0.43,0.28,0.35
100,0.5,0.5,0.2,3,3,3,2,1,1,102.72,14.1,20.97,1.76,3.67,1.04,0.73,0.55
100,0.5,0.5,0.3,3,3,3,2,1,1,103.85,15.08,24.63,2.11,9.85,3.02,1.2,4.61
100,0.5,0.5,0.4,3,3,3,2,1,1,104.85,15.9,27.17,2.51,13.95,5.88,1.67,18.96
100,0.5,0.5,0.5,3,3,3,2,1,1,105.29,17.08,29.33,2.98,19.58,3.33,1.99,39.3
100,0.5,0.5,0.6,3,3,3,2,1,1,105.79,17.31,32.6,3.6,21.64,7.58,2.61,20.39
100,0.5,0.5,0.7,3,3,3,2,1,1,106.55,17.3,29.64,3.67,21.29,4.2,2.49,13.52
100,0.5,0.5,0.8,3,3,3,2,1,1,106.75,17.69,31.89,4.24,24.21,5.62,3.26,46.58
100,0.5,0.5,0.9,3,3,3,2,1,1,106.27,17.1,31.1,4.77,24.08,8.19,3.38,45.08
