KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,5,3,2,2,1,106.25,10.88,9.95,3.56,4.88,1.0,1.16,0.27
100,0.5,0.5,0.5,1,5,3,2,2,2,113.39,17.68,16.55,4.34,12.04,1.75,2.63,0.67
100,0.5,0.5,0.5,1,5,3,2,2,3,121.27,25.65,23.5,4.7,19.8,3.85,4.6,4.49
100,0.5,0.5,0.5,1,5,3,2,2,4,128.45,32.63,20.47,4.08,16.65,67.33,6.02,264.56
100,0.5,0.5,0.5,1,5,3,2,2,5,141.6,46.03,18.49,3.1,16.05,19.21,4.22,397.14
