KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,3,1,3,1,1,102.41,3.76,3.28,2.31,0.89,0.62,0.62,0.18
100,0.5,0.5,0.5,1,3,2,3,1,1,103.82,7.65,6.88,2.99,2.08,0.89,0.89,0.2
100,0.5,0.5,0.5,1,3,3,3,1,1,104.27,11.75,10.61,3.05,4.24,1.0,1.01,0.26
100,0.5,0.5,0.5,1,3,4,3,1,1,104.92,15.65,14.52,3.34,5.56,1.0,1.02,0.3
100,0.5,0.5,0.5,1,3,5,3,1,1,105.55,19.7,17.95,3.25,6.85,1.0,1.02,0.4
