KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.54,5.32,12.04,2.04,1.63,0.82,0.83,0.03
10,0.6,0.5,0.5,1,2,2,2,1,1,4.61,5.45,12.21,2.07,1.62,0.82,0.82,0.03
10,0.7,0.5,0.5,1,2,2,2,1,1,4.54,5.33,12.06,1.98,1.38,0.85,0.85,0.03
10,0.8,0.5,0.5,1,2,2,2,1,1,4.67,5.34,12.12,1.97,1.6,0.84,0.84,0.03
10,0.9,0.5,0.5,1,2,2,2,1,1,4.73,5.41,12.66,2.12,1.65,0.84,0.84,0.03
