KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.65,5.42,12.17,2.17,1.55,0.87,0.87,0.03
10,0.5,0.5,0.6,1,2,2,2,1,1,5.04,5.65,12.46,2.38,1.74,0.91,0.91,0.03
10,0.5,0.5,0.7,1,2,2,2,1,1,5.51,5.86,12.42,2.57,2.07,0.97,0.98,0.03
10,0.5,0.5,0.8,1,2,2,2,1,1,5.6,5.9,12.53,2.78,2.11,0.96,0.96,0.03
10,0.5,0.5,0.9,1,2,2,2,1,1,5.89,5.99,12.25,3.22,2.41,1.0,1.0,0.03
