KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.5,0.7,2,3,2,3,2,2,65.21,22.24,24.45,3.47,17.53,35.93,3.34,304.24
50,0.7,0.6,0.7,2,3,2,3,2,2,65.34,22.19,25.03,3.74,18.18,27.96,4.18,241.33
50,0.7,0.7,0.7,2,3,2,3,2,2,65.92,23.04,23.53,3.39,17.56,26.19,3.94,334.1
50,0.7,0.8,0.7,2,3,2,3,2,2,65.56,22.38,27.14,3.96,20.03,51.3,5.0,221.92
50,0.7,0.9,0.7,2,3,2,3,2,2,65.73,23.09,23.18,3.23,17.49,22.83,4.07,342.1
