KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.5,0.7,0.7,2,3,2,3,2,2,64.89,22.23,23.51,3.53,17.32,30.69,3.98,290.49
50,0.6,0.7,0.7,2,3,2,3,2,2,65.22,22.0,25.03,3.73,18.06,33.69,4.38,251.3
50,0.7,0.7,0.7,2,3,2,3,2,2,65.67,22.64,25.5,3.82,18.72,28.45,4.4,218.89
50,0.8,0.7,0.7,2,3,2,3,2,2,65.77,22.65,26.85,3.64,19.45,23.85,4.17,272.92
50,0.9,0.7,0.7,2,3,2,3,2,2,65.36,22.16,25.38,3.6,18.56,19.54,4.14,219.72
