KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.7,0.7,2,3,2,2,2,2,64.56,19.86,22.85,4.05,18.24,20.51,4.75,47.39
50,0.7,0.7,0.7,2,3,2,3,2,2,65.62,22.88,30.2,4.05,22.77,24.58,4.17,238.85
50,0.7,0.7,0.7,2,3,2,4,2,2,67.43,26.48,26.58,2.91,15.19,19.98,2.79,498.77
