KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.7,0.7,1,3,2,3,2,2,60.92,15.24,14.78,4.26,10.07,1.46,2.72,0.13
50,0.7,0.7,0.7,2,3,2,3,2,2,65.93,23.03,25.9,3.51,18.89,28.39,3.87,283.01
