KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.7,0.5,2,3,2,3,2,2,65.05,21.59,25.57,3.1,17.49,31.5,4.02,211.33
50,0.7,0.7,0.6,2,3,2,3,2,2,64.89,21.85,25.89,3.34,18.58,17.89,3.67,238.93
50,0.7,0.7,0.7,2,3,2,3,2,2,66.05,22.84,24.3,3.56,17.79,18.42,3.94,286.88
50,0.7,0.7,0.8,2,3,2,3,2,2,65.67,22.68,31.01,4.54,23.89,36.48,5.05,230.24
50,0.7,0.7,0.9,2,3,2,3,2,2,65.69,23.56,25.06,4.22,18.8,21.18,4.07,331.41
