KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.7,0.7,2,3,2,3,1,2,57.43,14.63,26.42,4.55,15.4,19.46,3.45,66.66
50,0.7,0.7,0.7,2,3,2,3,2,2,65.78,22.39,24.78,3.74,18.7,36.43,4.19,229.93
