KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
50,0.7,0.7,0.7,2,3,1,3,2,2,58.66,10.83,12.45,3.72,8.83,20.85,3.7,82.42
50,0.7,0.7,0.7,2,3,2,3,2,2,65.15,22.25,25.14,3.64,18.62,36.08,4.17,280.9
