KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,arguments,rules,fact_preum,mddl,h,t,times
5,0.5,0.5,0.5,3,3,3,3,3,1,11.44,35.17,24.54,0.7478999999999999,0.5375,0.8530000000000002,17.0411
5,0.5,0.5,0.5,3,3,3,3,3,2,3.57,60.01,49.01,0.2147,0.215,0.4395,19.4044
5,0.5,0.5,0.5,3,3,3,3,3,3,2.18,98.69,87.73,0.09449999999999999,0.021400000000000002,0.1045,19.9704
5,0.5,0.5,0.5,3,3,3,3,3,4,0.0,137.52,126.09,0.0,0.0,0.0,20.0245
5,0.5,0.5,0.5,3,3,3,3,3,5,1.72,190.25,178.97,0.0705,0.0,0.0,19.75
