KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,3,1,3,1,1,102.53,3.83,3.55,2.51,1.17,0.74,0.74,0.16
100,0.5,0.5,0.5,2,3,1,3,1,1,103.54,5.56,7.1,2.85,3.11,6.92,1.0,7.96
100,0.5,0.5,0.5,3,3,1,3,1,1,104.66,7.39,13.56,2.82,6.29,3.53,1.07,16.95
100,0.5,0.5,0.5,4,3,1,3,1,1,105.74,9.52,26.14,2.95,13.12,4.11,1.42,22.38
100,0.5,0.5,0.5,5,3,1,3,1,1,106.33,11.66,48.91,2.98,22.32,8.99,1.11,108.9
