KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.1,0.5,3,3,3,2,1,1,105.23,17.07,30.15,2.94,20.25,4.31,2.1,30.3
100,0.5,0.2,0.5,3,3,3,2,1,1,105.38,16.47,28.31,2.92,18.58,4.66,2.23,4.96
100,0.5,0.3,0.5,3,3,3,2,1,1,105.48,16.27,27.53,2.89,17.66,3.28,1.88,11.94
100,0.5,0.4,0.5,3,3,3,2,1,1,105.13,16.39,29.45,2.98,18.61,5.16,2.1,5.51
100,0.5,0.5,0.5,3,3,3,2,1,1,105.45,17.19,31.23,2.97,20.38,3.63,2.01,13.27
100,0.5,0.6,0.5,3,3,3,2,1,1,105.25,16.4,27.37,2.88,16.33,3.76,2.06,32.76
100,0.5,0.7,0.5,3,3,3,2,1,1,105.22,16.61,29.08,3.01,18.23,2.73,1.92,11.38
100,0.5,0.8,0.5,3,3,3,2,1,1,105.27,16.67,30.04,3.09,19.55,7.01,2.29,17.45
100,0.5,0.9,0.5,3,3,3,2,1,1,105.3,16.94,30.12,3.05,18.93,6.19,2.24,10.89
