KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.1,0.5,0.5,3,3,3,2,3,1,114.64,26.29,35.75,2.79,26.79,9.03,2.24,97.91
100,0.2,0.5,0.5,3,3,3,2,3,1,114.88,25.99,34.12,2.91,25.49,10.87,2.63,93.43
100,0.3,0.5,0.5,3,3,3,2,3,1,114.94,26.24,36.95,3.05,28.37,21.29,3.06,65.21
100,0.4,0.5,0.5,3,3,3,2,3,1,115.38,26.5,32.48,2.79,24.57,29.21,3.17,143.37
100,0.5,0.5,0.5,3,3,3,2,3,1,114.57,25.35,36.99,3.04,26.54,15.06,2.65,51.31
100,0.6,0.5,0.5,3,3,3,2,3,1,114.22,25.68,34.6,2.91,25.1,27.66,3.18,88.98
100,0.7,0.5,0.5,3,3,3,2,3,1,114.39,25.45,33.18,2.77,24.24,20.87,2.8,119.08
100,0.8,0.5,0.5,3,3,3,2,3,1,114.68,25.81,36.32,2.96,26.87,20.25,2.97,72.69
100,0.9,0.5,0.5,3,3,3,2,3,1,115.59,26.69,32.88,2.66,24.19,12.45,2.51,122.94
