KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,1,3,3,1,1,103.09,11.28,9.19,1.95,2.89,0.95,0.95,0.18
100,0.5,0.5,0.5,1,2,3,3,1,1,103.72,11.56,10.26,2.51,3.52,0.98,0.99,0.2
100,0.5,0.5,0.5,1,3,3,3,1,1,104.38,11.71,10.74,3.03,4.17,1.0,1.01,0.23
100,0.5,0.5,0.5,1,4,3,3,1,1,105.08,11.7,10.93,3.66,4.34,1.0,1.01,0.36
100,0.5,0.5,0.5,1,5,3,3,1,1,105.84,11.76,11.0,4.32,4.21,0.99,1.0,1.13
