KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
50,0.7,0.7,0.7,1,3,1,3,1,1,3.81,3.93,52.56,3.1,1.26,0.87,0.87,0.06
50,0.7,0.7,0.7,1,3,1,3,1,2,4.46,4.72,53.23,3.62,1.49,0.79,1.11,0.06
50,0.7,0.7,0.7,1,3,1,3,1,3,5.47,5.7,54.33,3.95,2.72,0.82,1.54,0.07
