KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
50,0.7,0.7,0.7,1,3,1,2,1,2,3.7,3.82,52.75,3.37,1.74,0.89,1.29,0.05
50,0.7,0.7,0.7,1,3,1,3,1,2,4.6,4.78,53.46,3.46,1.67,0.89,1.23,0.06
50,0.7,0.7,0.7,1,3,1,4,1,2,5.68,5.86,54.45,3.75,1.76,0.96,1.3,0.06
50,0.7,0.7,0.7,1,3,1,5,1,2,6.52,6.76,55.01,3.6,1.6,0.86,1.19,0.06
